Date,Year,Type,Area,Location,Sex,Injury,Fatal,Time,Species,AgeGroup,ActivityGroup,CleanedCountry,TimeOfDay,TimePeriod,country
2011-02-02,2011.0,Unprovoked,Eastern Cape Province,"Sundays River Mouth, Port Elizabeth",Male,Unknown,False,,Unknown Shark,Adult,On Boat,Unknown,Unknown,Unknown,Unknown
2011-01-31,2011.0,Unprovoked,Quintana Roo,Cancun,Female,Unknown,False,12h00,Unknown Shark,Adult,In Water,North America,Afternoon,Afternoon,Unknown
2011-01-28,2011.0,Provoked,Colima,Revillagigedo Islands,Male,Unknown,False,,Unknown Shark,Adult,On Boat,North America,Unknown,Unknown,Unknown
2011-01-26,2011.0,Unprovoked,West End,Tiger Beach,Male,Unknown,False,15h00,Caribbean Reef Shark,Adult,In Water,North America,Afternoon,Afternoon,Unknown
2011-01-20,2011.0,Invalid,New South Wales,Cudgen Creek ,Female,Unknown,False,17h00,Unknown Shark,Child,In Water,Oceania,Afternoon,Evening,Unknown
2011-01-15,2011.0,Unprovoked,Eastern Cape Province,"Second Beach, Port St. John'S",Male,Fatal injury,True,12h30,Unknown Shark,Teen,In Water,Unknown,Afternoon,Afternoon,Unknown
,2011.0,Unprovoked,Quintana Roo,Xcalak ,Male,Unknown,False,,Unknown Shark,Adult,Other/Unknown,North America,Unknown,Unknown,Unknown
2011-01-03,2011.0,Boat,Western Australia,Busselton,Unknown,No injury,False,12h00,Great White Shark,,On Boat,Oceania,Afternoon,Afternoon,Unknown
2010-12-26,2010.0,Unprovoked,Hawaii," Kahului, Maui",Male,Unknown,False,15h35,Unknown Shark,Teen,Other/Unknown,Other/Unknown,Afternoon,Afternoon,United States
2010-12-17,2010.0,Unprovoked,Vitu Levu,Sigatoka,Male,Unknown,False,AM,Unknown Shark,,In Water,Oceania,Unknown,Unknown,Unknown
2010-12-11,2010.0,Unprovoked,Hawaii,"Tavares Bay, Maui",Male,Unknown,False,13h51,Unknown Shark,Adult,In Water,Other/Unknown,Afternoon,Afternoon,Unknown
2010-12-05,2010.0,Unprovoked,South Sinai Peninsula,"Middle Garden, Sharm El-Shiekh",Female,Fatal injury,True,12h00,Oceanic Whitetip Shark,Senior,Other/Unknown,Africa,Afternoon,Afternoon,Unknown
,2010.0,Unprovoked,Bali,Balian,Male,Unknown,False,,Unknown Shark,,In Water,Asia,Unknown,Unknown,Indonesia
2010-12-01,2010.0,Unprovoked,South Sinai Peninsula,"Ras Nasrani, Sharm El-Sheikh",Male,Unknown,False,11h00,Shortfin Mako Shark,Adult,Other/Unknown,Africa,Morning,Morning,Unknown
2010-12-01,2010.0,Unprovoked,South Sinai Peninsula,"Ras Nasrani, Sharm El-Sheikh",Male,Unknown,False,10h55,Shortfin Mako Shark,Adult,Other/Unknown,Africa,Morning,Morning,Unknown
2010-11-30,2010.0,Unprovoked,South Sinai Peninsula,"Coral Bay, Sharm El-Sheikh",Female,Unknown,False,14h55,Oceanic Whitetip Shark,Senior,Other/Unknown,Africa,Afternoon,Afternoon,Unknown
2010-11-30,2010.0,Unprovoked,South Sinai Peninsula,"Coral Bay, Sharm El-Sheikh",Female,Unknown,False,14h40,Oceanic Whitetip Shark,Adult,Other/Unknown,Africa,Afternoon,Afternoon,Unknown
,2010.0,Unprovoked,,,Male,Unknown,False,Morning,Unknown Shark,Adult,On Boat,Oceania,Morning,Morning,Unknown
2010-11-27,2010.0,Invalid,Western Australia,Native Dog Beach,Male,Unknown,False,,Unknown Shark,,In Water,Oceania,Unknown,Unknown,Unknown
2010-11-19,2010.0,Provoked,Palmyra Atoll,,Male,Unknown,False,13h30,Unknown Shark,Adult,Other/Unknown,Other/Unknown,Afternoon,Afternoon,Unknown
2010-11-15,2010.0,Unprovoked,,Boca Chica,Male,Fatal injury,True,Morning,Unknown Shark,Adult,In Water,Caribbean,Morning,Morning,Unknown
2010-11-14,2010.0,Unprovoked,Bali,Balian,Male,Unknown,False,,Unknown Shark,,In Water,Asia,Unknown,Unknown,Indonesia
,2010.0,Boat,Western Australia,Between Carnac And Garden Islands,Male,No injury,False,Night,Great White Shark,,On Boat,Oceania,Overnight,Overnight,Unknown
2010-10-30,2010.0,Unprovoked,Western Australia,Off Garden Island,Female,Unknown,False,12h30,Great White Shark,Adult,Other/Unknown,Oceania,Afternoon,Afternoon,Unknown
,2010.0,Unprovoked,Western Australia,Cheynes Beach,Male,No injury,False,,Unknown Shark,,On Boat,Oceania,Unknown,Unknown,Unknown
2010-10-28,2010.0,Unprovoked,Oregon,Florence,Male,No injury,False,15h20,Unknown Shark,,In Water,Other/Unknown,Afternoon,Afternoon,Unknown
2010-10-25,2010.0,Provoked,,350 Miles From Faial Island,Male,Unknown,False,,Unknown Shark,,On Boat,Europe,Unknown,Unknown,Unknown
2010-10-23,2010.0,Unprovoked,Maine,"Burnt Cove Near Eastport, Washington County",Male,No injury,False,Afternoon,Porbeagle Shark,Adult,In Water,Other/Unknown,Afternoon,Afternoon,Unknown
2010-10-23,2010.0,Unprovoked,Western Australia,Wedge Island,Male,Unknown,False,,Unknown Shark,Teen,In Water,Oceania,Unknown,Unknown,Unknown
2010-10-22,2010.0,Unprovoked,California,"Surf Beach, Vandenberg Afb, Santa Barbara County",Male,Fatal injury,True,08h50,Great White Shark,Teen,Other/Unknown,Other/Unknown,Morning,Morning,Unknown
2010-10-20,2010.0,Unprovoked,South Sinai Peninsula,Sharm El-Sheikh ,Female,Unknown,False,A.M.,Unknown Shark,,Other/Unknown,Africa,Unknown,Unknown,Unknown
2010-10-09,2010.0,Unprovoked,New South Wales,Mullaway Headland,Male,Unknown,False,13h30,Bull Shark,Adult,In Water,Oceania,Afternoon,Afternoon,Unknown
2010-10-02,2010.0,Unprovoked,Exuma Islands,,Male,Unknown,False,,Lemon Shark,,Other/Unknown,North America,Unknown,Unknown,Unknown
2010-10-02,2010.0,Unprovoked,Abaco Islands,Elbow Cay,Female,Unknown,False,15h00,Lemon Shark,,In Water,North America,Afternoon,Afternoon,Unknown
2010-10-01,2010.0,Unprovoked,Western Cape Province,"Melkbaai, Strand",Male,Unknown,False,14h30,Unknown Shark,,In Water,Unknown,Afternoon,Afternoon,Unknown
2010-09-27,2010.0,Unprovoked,Oregon,Winchester Bay,Male,No injury,False,16h00,Great White Shark,Adult,In Water,Other/Unknown,Afternoon,Evening,Unknown
2010-09-24,2010.0,Unprovoked,Virginia,Sandridge Beach,Male,Unknown,False,16h30,Unknown Shark,Teen,In Water,Other/Unknown,Afternoon,Evening,Unknown
2010-09-21,2010.0,Unprovoked,Western Cape Province,Between Dyer Island And Pearly Beach,Male,Fatal injury,True,,Great White Shark,Adult,In Water,Unknown,Unknown,Unknown,Unknown
,2010.0,Unprovoked,New South Wales,Fraser'S Reef,Male,Unknown,False,17h00,Unknown Shark,Teen,In Water,Oceania,Afternoon,Evening,Unknown
2010-09-07,2010.0,Unprovoked,Florida,"St. Augustine, St. John'S County",Male,Unknown,False,,Unknown Shark,Adult,In Water,Other/Unknown,Unknown,Unknown,Unknown
,2010.0,Unprovoked,Ha'Api ,,Male,Unknown,False,12h00,Unknown Shark,Adult,In Water,Oceania,Afternoon,Afternoon,Unknown
,2010.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Male,No injury,False,,Unknown Shark,,In Water,Other/Unknown,Unknown,Unknown,United States
2010-09-03,2010.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Male,Unknown,False,12h00,Unknown Shark,Adult,In Water,Other/Unknown,Afternoon,Afternoon,United States
2010-09-03,2010.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Male,Unknown,False,09h00,Unknown Shark,Adult,In Water,Other/Unknown,Morning,Morning,United States
2010-09-02,2010.0,Unprovoked,Western Province,,Male,Unknown,False,,Unknown Shark,Adult,Other/Unknown,Oceania,Unknown,Unknown,Unknown
2010-08-29,2010.0,Invalid,Exuma Islands,"Off Jaws Beach, New Providence Island",Male,Unknown,False,,Unknown Shark,Adult,In Water,North America,Unknown,Unknown,Unknown
2010-08-18,2010.0,Unprovoked,Florida,Crescent Beach St. Johns County,Male,Minor injury,False,09h00,Unknown Shark,Child,Other/Unknown,Other/Unknown,Morning,Morning,Unknown
2010-08-17,2010.0,Unprovoked,Western Australia,Cowaramup Bay,Male,Fatal injury,True,08h05,Great White Shark,Adult,In Water,Oceania,Morning,Morning,Unknown
2010-08-14,2010.0,Boating,California,"Pigeon Point, San Mateo County",Male,No injury,False,,Great White Shark,Adult,In Water,Other/Unknown,Unknown,Unknown,Unknown
2010-08-10,2010.0,Provoked,Queensland,"Three Mile Creek, Townsville",Female,Unknown,False,19h00,Unknown Shark,,On Boat,Oceania,Evening,Evening,Unknown
2010-08-10,2010.0,Unprovoked,Jeju Province,Jeju Island,Female,Unknown,False,Late afternoon,Unknown Shark,Teen,In Water,Asia,Afternoon,Afternoon,Unknown
2010-08-08,2010.0,Unprovoked,New South Wales,Crescent Head,Male,Unknown,False,08h00,Unknown Shark,Adult,In Water,Oceania,Morning,Morning,Unknown
2010-08-07,2010.0,Unprovoked,North Carolina,"Figure Eight Island, Wilmington, New Hanover County",Male,Unknown,False,15h00,Unknown Shark,Adult,In Water,Other/Unknown,Afternoon,Afternoon,Unknown
2010-08-07,2010.0,Unprovoked,,"Off Fort St. Elmo, Valetta",Male,No injury,False,,Unknown Shark,Adult,In Water,Europe,Unknown,Unknown,Unknown
2010-08-05,2010.0,Invalid,Florida,"Bethune Beach, Volusia County",Female,Minor injury,False,19h15,Unknown Shark,,In Water,Other/Unknown,Evening,Evening,United States
2010-08-02,2010.0,Boating,California,"Near Oil Rig Hondo, 5 Nm From Gaviota, Santa Barbara County",Male,No injury,False,12h40,Great White Shark,,In Water,Other/Unknown,Afternoon,Afternoon,Unknown
2010-08-02,2010.0,Unprovoked,Florida,"Micklers Landing, St. Johns County",Female,Unknown,False,11h00,Unknown Shark,Adult,In Water,Other/Unknown,Morning,Morning,Unknown
2010-07-25,2010.0,Unprovoked,South Carolina,"Isle Of Palms, Charleston County",Male,Unknown,False,,Unknown Shark,Teen,In Water,Other/Unknown,Unknown,Unknown,United States
2010-07-23,2010.0,Unprovoked,Florida,"Jacksonville Beach, Duval County",Male,Unknown,False,16h30,Unknown Shark,Adult,In Water,Other/Unknown,Afternoon,Evening,United States
2010-07-19,2010.0,Unprovoked,South Carolina,Myrtle Beach,Male,Minor injury,False,10h35,Blacktip Shark,Child,In Water,Other/Unknown,Morning,Morning,Unknown
2010-07-17,2010.0,Unprovoked,North Carolina,"Wrightsville Beach, New Hanover County",Female,Unknown,False,13h30,Tiger Shark,Teen,In Water,Other/Unknown,Afternoon,Afternoon,Unknown
2010-07-17,2010.0,Unprovoked,Florida,New Smyrna Beach,Male,Minor injury,False,,Spinner Shark,Adult,In Water,Other/Unknown,Unknown,Unknown,United States
2010-07-16,2010.0,Provoked,Grand Canary Island,"Sardina Del Norte, GÃ¡ldar",Male,Unknown,False,19h15,Angel Shark,Child,In Water,Europe,Evening,Evening,Unknown
2010-07-16,2010.0,Unprovoked,Texas,Galveston,Male,Unknown,False,,Unknown Shark,,On Boat,Other/Unknown,Unknown,Unknown,United States
2010-07-11,2010.0,Provoked,Florida,"Lauderdale-By-The-Sea, Broward County",Male,Unknown,False,,Nurse Shark,,On Boat,Other/Unknown,Unknown,Unknown,Unknown
2010-07-04,2010.0,Unprovoked,Kwazulu-Natal,"Two Mile Reef, Sodwana Bay",Female,Unknown,False,,Unknown Shark,Adult,Other/Unknown,Unknown,Unknown,Unknown,Unknown
2010-07-03,2010.0,Provoked,New York,Off Long Island,Male,Unknown,False,12h30,Unknown Shark,Adult,On Boat,Other/Unknown,Afternoon,Afternoon,Unknown
2010-07-02,2010.0,Unprovoked,California,"Pismo Beach, San Luis  Obispo County",Male,Unknown,False,Evening,Unknown Shark,Teen,In Water,Other/Unknown,Evening,Evening,Unknown
2010-07-02,2010.0,Unprovoked,California,"Dog Patch, San Onofre",Male,No injury,False,15h15,Unknown Shark,Adult,Other/Unknown,Other/Unknown,Afternoon,Afternoon,Unknown
2010-06-27,2010.0,Unprovoked,Texas,"Eight Mile Beach, Galveston",Male,Unknown,False,,Bull Shark,Adult,In Water,Other/Unknown,Unknown,Unknown,Unknown
2010-06-25,2010.0,Unprovoked,South Carolina,Fripp Island,Female,Unknown,False,,Unknown Shark,Child,Other/Unknown,Other/Unknown,Unknown,Unknown,Unknown
2010-06-25,2010.0,Unprovoked,North Carolina,"Topsail Island, Pender County",Female,Unknown,False,13h00,Unknown Shark,Teen,In Water,Other/Unknown,Afternoon,Afternoon,Unknown
2010-06-15,2010.0,Unprovoked,Binh Dinh Province,Quy Nhon ,Male,Unknown,False,17h00,Unknown Shark,Teen,In Water,Asia,Afternoon,Evening,Unknown
2010-06-10,2010.0,Unprovoked,Florida,Jacksonville,Female,Unknown,False,12h30,Unknown Shark,Teen,Other/Unknown,Other/Unknown,Afternoon,Afternoon,Unknown
2010-06-06,2010.0,Unprovoked,Western Australia,"Conspicuous Beach, Near Walpole",Male,Unknown,False,12h00,Unknown Shark,Adult,In Water,Oceania,Afternoon,Afternoon,Unknown
,2010.0,Unprovoked,Florida,"Ponte Vedra Beach, St Johns County",Male,Unknown,False,,Unknown Shark,Adult,In Water,Other/Unknown,Unknown,Unknown,Unknown
2010-05-30,2010.0,Provoked,Florida,Off Tarpon Springs,Male,Unknown,False,08h45,Lemon Shark,Adult,On Boat,Other/Unknown,Morning,Morning,Unknown
2010-05-18,2010.0,Unprovoked,Binh Dinh Province,Quy Nhon ,Female,Minor injury,False,18h00,Unknown Shark,Adult,Other/Unknown,Asia,Evening,Evening,Unknown
2010-05-18,2010.0,Unprovoked,Binh Dinh Province,Quy Nhon ,Female,Unknown,False,18h00,Unknown Shark,Adult,In Water,Asia,Evening,Evening,Unknown
2010-05-18,2010.0,Unprovoked,New South Wales,Point Plomer,Male,Unknown,False,16h30,Unknown Shark,,In Water,Oceania,Afternoon,Evening,Unknown
2010-05-03,2010.0,Unprovoked,Antsiranana Province," Ambatolaoka, Nosy Be Island",Male,Unknown,False,09h30,Unknown Shark,Adult,In Water,Africa,Morning,Morning,Unknown
2010-05-01,2010.0,Unprovoked,Florida,New Smyrna Beach,Female,Minor injury,False,10h30,Unknown Shark,Child,Other/Unknown,Other/Unknown,Morning,Morning,United States
2010-04-28,2010.0,Provoked,Florida,Hanalei Bay,Male,Unknown,False,Afternoon,Lemon Shark,Adult,Other/Unknown,Other/Unknown,Afternoon,Afternoon,Unknown
2010-04-19,2010.0,Unprovoked,Hawaii,"Hanalei Bay, Kauai",Male,No injury,False,16h00,Unknown Shark,Senior,In Water,Other/Unknown,Afternoon,Evening,United States
2010-04-13,2010.0,Unprovoked,Eastern Cape Province,"East Beach, Port Alfred",Male,Unknown,False,10h00,Unknown Shark,Adult,In Water,Unknown,Morning,Morning,Unknown
2010-04-04,2010.0,Unprovoked,Sinai Peninsula,Sharm El-Sheikh ,Male,Unknown,False,14h00,Oceanic Whitetip Shark,Adult,In Water,Africa,Afternoon,Afternoon,Unknown
,2010.0,Unprovoked,Saint-Benoit,Bittern,Male,No injury,False,11h00,Unknown Shark,Adult,In Water,Africa,Morning,Morning,Unknown
,2010.0,Unprovoked,South Island,Tahunanui Beach,Male,Unknown,False,Night,Unknown Shark,,In Water,Oceania,Overnight,Overnight,Unknown
2010-02-16,2010.0,Unprovoked,Eastern Cape Province,Yellow Sands Point,Male,Unknown,False,11h00,Unknown Shark,,In Water,Unknown,Morning,Morning,Unknown
2010-02-15,2010.0,Unprovoked,Off Vanua Levu,Nara Reef,Male,Fatal injury,True,09h30,Unknown Shark,Teen,In Water,Oceania,Morning,Morning,Unknown
2010-02-13,2010.0,Unprovoked,Queensland,"Dent Island, Whitsundays",Female,Unknown,False,13h30,Unknown Shark,Adult,Other/Unknown,Oceania,Afternoon,Afternoon,Unknown
2010-02-11,2010.0,Unprovoked,New South Wales,"Mona Vale Beach, Sydney",Male,Minor injury,False,08h00,Wobbegong Shark,Adult,In Water,Oceania,Morning,Morning,Unknown
,2010.0,Provoked,South Island,Cosy Nook,Male,No injury,False,,Unknown Shark,,On Boat,Oceania,Unknown,Unknown,Unknown
2010-02-06,2010.0,Unprovoked,New South Wales,Turners' Beach,Male,No injury,False,15h30,Great White Shark,Teen,Other/Unknown,Oceania,Afternoon,Afternoon,Unknown
2010-02-06,2010.0,Provoked,Florida,Riviera Beach,Male,Unknown,False,15h00,Spinner Shark,,On Boat,Other/Unknown,Afternoon,Afternoon,Unknown
2010-02-04,2010.0,Invalid,Merizo,Achang Reef,Male,Unknown,False,11h00,Unknown Shark,Adult,In Water,Oceania,Morning,Morning,Unknown
2010-02-03,2010.0,Unprovoked,Florida,"Stuart, Martin County",Male,Fatal injury,True,15h44,Unknown Shark,Adult,Other/Unknown,Other/Unknown,Afternoon,Afternoon,United States
2010-02-01,2010.0,Provoked,South Island,Oreti Beach,Female,Unknown,False,18h30,Unknown Shark,Teen,Other/Unknown,Oceania,Evening,Evening,Unknown
2010-01-31,2010.0,Unprovoked,Rio Grande Do Sul,"Atlantis Beach, Near Tramandai",Male,Unknown,False,,Hammerhead Shark,Adult,In Water,South America,Unknown,Unknown,Unknown
2010-01-27,2010.0,Unprovoked,Queensland,Archie'S Beach,Male,No injury,False,16h30,Unknown Shark,,In Water,Oceania,Afternoon,Evening,Unknown
2010-01-22,2010.0,Unprovoked,Dubai,"Umm Suqeim Beach, Dubai",Male,Unknown,False,Evening,Unknown Shark,Adult,In Water,Asia,Evening,Evening,الإمارات العربية المتحدة
2010-01-22,2010.0,Unprovoked,Victoria,Geelong,Male,Unknown,False,07h30,Unknown Shark,,In Water,Oceania,Morning,Morning,Australia
2010-01-12,2010.0,Unprovoked,Western Province,Fish Hoek,Male,Fatal injury,True,15h15,Great White Shark,Adult,In Water,Unknown,Afternoon,Afternoon,South Africa
2010-01-09,2010.0,Unprovoked,Torres Strait,Thursday Island,Female,Minor injury,False,,Reef Shark,Child,Other/Unknown,Oceania,Unknown,Unknown,Australia
2010-01-09,2010.0,Unprovoked,Binh Dinh Province,Quy Nhon ,Female,Minor injury,False,,Unknown Shark,,Other/Unknown,Asia,Unknown,Unknown,Việt Nam
2010-01-09,2010.0,Unprovoked,Binh Dinh Province,Quy Nhon ,Male,Unknown,False,17h00,Unknown Shark,,Other/Unknown,Asia,Afternoon,Evening,Việt Nam
2010-01-09,2010.0,Unprovoked,Binh Dinh Province,Quy Nhon ,Male,Unknown,False,06h45,Unknown Shark,,Other/Unknown,Asia,Morning,Morning,Việt Nam
2010-01-06,2010.0,Unprovoked,Florida,Elliot Key,Male,Unknown,False,10h15,Unknown Shark,Adult,On Boat,Other/Unknown,Morning,Morning,Unknown
2010-01-05,2010.0,Unprovoked,Eastern Province,"Nahoon, East London",Male,No injury,False,,Unknown Shark,,In Water,Unknown,Unknown,Unknown,South Africa
2009-12-29,2009.0,Unprovoked,Eastern Cape  Province,Port Alfred,Male,Unknown,False,08h30,Unknown Shark,Adult,Other/Unknown,Unknown,Morning,Morning,South Africa
2009-12-26,2009.0,Provoked,New South Wales,Avoca Beach,Male,Unknown,False,11h00,Unknown Shark,Adult,In Water,Oceania,Morning,Morning,Australia
2009-12-22,2009.0,Unprovoked,Maputo Province,Ponta Do Ouro,Male,Unknown,False,16h30,Unknown Shark,Adult,In Water,Africa,Afternoon,Evening,Moçambique
2009-12-20,2009.0,Boating,Queensland,Mudjimba Island,Male,No injury,False,11h00,Unknown Shark,,In Water,Oceania,Morning,Morning,Australia
2009-12-20,2009.0,Unprovoked,Queensland,Lamont Reef,Male,Unknown,False,07h30,Bull Shark,Teen,On Boat,Oceania,Morning,Morning,Unknown
2009-12-18,2009.0,Unprovoked,Eastern Cape Province,"Second Beach, Port St. Johns",Male,Fatal injury,True,14h30,Unknown Shark,Adult,In Water,Unknown,Afternoon,Afternoon,South Africa
2009-12-18,2009.0,Invalid,Kwazulu-Natal,"North Beach, Durban",Male,Minor injury,False,,Unknown Shark,,In Water,Unknown,Unknown,Unknown,South Africa
2009-12-16,2009.0,Unprovoked,South Island,Clark Island,Male,Fatal injury,True,,Great White Shark,Adult,In Water,Oceania,Unknown,Unknown,Australia
2009-12-13,2009.0,Unprovoked,New South Wales,Coffee Head,Male,Unknown,False,07h00,Unknown Shark,Adult,In Water,Oceania,Morning,Morning,Unknown
2009-12-12,2009.0,Boating,New South Wales,Hawks Nest Beach,Unknown,No injury,False,07h30,Great White Shark,,Other/Unknown,Oceania,Morning,Morning,Australia
2009-12-05,2009.0,Provoked,New Jersey,"Adventure Aquarium, Camden",Male,Unknown,False,13h00,Tiger Shark,Adult,In Water,Other/Unknown,Afternoon,Afternoon,United States
2009-11-25,2009.0,Invalid,California,"Huntington Beach, Orange County",Male,Unknown,False,15h30,Unknown Shark,Adult,In Water,Other/Unknown,Afternoon,Afternoon,United States
2009-11-24,2009.0,Unprovoked,Florida,"Lori Wilson Park, Cocoa Beach, Brevard County",Male,Unknown,False,Morning,Unknown Shark,Child,Other/Unknown,Other/Unknown,Morning,Morning,United States
2009-11-16,2009.0,Unprovoked,California,"Loch Lomond, Marin County",Male,Minor injury,False,16h45,Thresher Shark,Adult,On Boat,Other/Unknown,Afternoon,Evening,United States
2009-11-16,2009.0,Unprovoked,Florida,"Jupiter, Palm Beach County",Male,Unknown,False,09h30,Unknown Shark,Adult,In Water,Other/Unknown,Morning,Morning,United States
2009-11-13,2009.0,Unprovoked,Florida,"Jupiter, Palm Beach County",Female,Unknown,False,16h30,Unknown Shark,Adult,In Water,Other/Unknown,Afternoon,Evening,United States
2009-11-11,2009.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Male,Unknown,False,Afternoon,Unknown Shark,Teen,In Water,Other/Unknown,Afternoon,Afternoon,United States
2009-11-08,2009.0,Unprovoked,South Australia,Second Valley,Male,Unknown,False,10h30,Unknown Shark,Adult,In Water,Oceania,Morning,Morning,Australia
2009-11-05,2009.0,Unprovoked,California,"Davenport, Santa Cruz County",Male,No injury,False,Dusk,Unknown Shark,Adult,In Water,Other/Unknown,Overnight,Unknown,United States
2009-10-30,2009.0,Boating,Victoria,Portland,Male,No injury,False,Morning,Great White Shark,Adult,In Water,Oceania,Morning,Morning,Australia
,2009.0,Unprovoked,Inhambane Province,Off Vilanculo,Male,Unknown,False,,Unknown Shark,,On Boat,Africa,Unknown,Unknown,Unknown
2009-10-28,2009.0,Unprovoked,New South Wales,Lennox Heads,Female,No injury,False,07h00,Unknown Shark,Teen,Other/Unknown,Oceania,Morning,Morning,Unknown
2009-10-24,2009.0,Unprovoked,California,"San Onofre, San Diego County ",Male,Unknown,False,17h30,Unknown Shark,,In Water,Other/Unknown,Afternoon,Evening,United States
2009-10-19,2009.0,Unprovoked,Hawaii,"Kalama Park, Maui",Male,Unknown,False,06h00,Unknown Shark,Adult,In Water,Other/Unknown,Morning,Morning,United States
2009-10-18,2009.0,Unprovoked,Bocas,Playa La CabaÃ±a ,Female,Unknown,False,18h30,Unknown Shark,Child,Other/Unknown,Central America,Evening,Evening,Unknown
2009-10-17,2009.0,Provoked,Fife,Deep Sea World Aquarium,Male,Unknown,False,14h45,Angel Shark,Adult,In Water,Europe,Afternoon,Afternoon,United Kingdom
,2009.0,Unprovoked,Western Australia,,Male,Unknown,False,,Bull Shark,Adult,In Water,Oceania,Unknown,Unknown,Unknown
2009-10-09,2009.0,Unprovoked,California,"San Onofre State Beach, San Diego County",Male,Unknown,False,11h00,Unknown Shark,,In Water,Other/Unknown,Morning,Morning,United States
2009-10-02,2009.0,Provoked,Devon,Mewstone Rock,Male,Unknown,False,12h50,Spurdog,Adult,On Boat,Europe,Afternoon,Afternoon,Unknown
2009-09-26,2009.0,Unprovoked,Florida,"Key Colony Beach, Monroe County",Male,Unknown,False,17h30,Bull Shark,,In Water,Other/Unknown,Afternoon,Evening,United States
2009-09-18,2009.0,Unprovoked,,,Male,Unknown,False,,Unknown Shark,,Other/Unknown,Asia,Unknown,Unknown,Unknown
2009-09-15,2009.0,Provoked,,300 Miles Off The Coast ,Male,Unknown,False,,Unknown Shark,,On Boat,Africa,Unknown,Unknown,Unknown
2009-09-13,2009.0,Provoked,Pernambuco,"Piedade, Recife",Male,Unknown,True,,Unknown Shark,Adult,Other/Unknown,South America,Unknown,Unknown,Brasil
2009-09-12,2009.0,Invalid,North Carolina,"Corolla, Currituck County",Male,Fatal injury,True,21h00,Unknown Shark,Adult,In Water,Other/Unknown,Evening,Overnight,United States
2009-09-07,2009.0,Unprovoked,Pernambuco,"Piedade, Recife",Male,Fatal injury,True,Afternoon,Unknown Shark,Teen,In Water,South America,Afternoon,Afternoon,Brasil
2009-09-02,2009.0,Invalid,,Castle Beach,Male,Unknown,False,,Unknown Shark,,In Water,Caribbean,Unknown,Unknown,Unknown
2009-09-01,2009.0,Provoked,Makira-Ulawa Province,"Kirakira, Makira Island (Formerly San Cristobal)",Male,Unknown,False,,Unknown Shark,,On Boat,Oceania,Unknown,Unknown,Unknown
2009-08-30,2009.0,Unprovoked,California,"Huntington Beach, Orange County",Male,No injury,False,18h30,Unknown Shark,,In Water,Other/Unknown,Evening,Evening,United States
2009-08-29,2009.0,Unprovoked,Western Cape Province,Glentana,Male,Fatal injury,True,15h30,Great White Shark,Adult,In Water,Unknown,Afternoon,Afternoon,South Africa
2009-08-25,2009.0,Unprovoked,California,"Terramar Beach, Carlsbad, San Diego County",Female,Unknown,False,16h30,Great White Shark,Adult,In Water,Other/Unknown,Afternoon,Evening,Unknown
2009-08-11,2009.0,Unprovoked,Kwazulu-Natal,Alkantstrand ,Male,No injury,False,Lunchtime,Great White Shark,,Other/Unknown,Unknown,Afternoon,Afternoon,South Africa
2009-08-10,2009.0,Unprovoked,Florida,"Ponce, Volusia County",Male,Unknown,False,19h00,Unknown Shark,Adult,In Water,Other/Unknown,Evening,Evening,United States
2009-08-06,2009.0,Unprovoked,Hawaii,Kawa'A ,Male,No injury,False,08h45,Tiger Shark,,In Water,Other/Unknown,Morning,Morning,United States
2009-08-01,2009.0,Unprovoked,Louisiana,"Curlew Island, Breton Sound",Male,Unknown,False,10h00,Bull Shark,Adult,On Boat,Other/Unknown,Morning,Morning,Unknown
,2009.0,Unprovoked,Abaco Islands,Spanish Cay,Male,Unknown,False,,Bull Shark,Teen,On Boat,North America,Unknown,Unknown,Unknown
2009-07-30,2009.0,Unprovoked,New South Wales,Broken Head,Male,Unknown,False,06h15,Unknown Shark,Teen,In Water,Oceania,Morning,Morning,Australia
2009-07-29,2009.0,Unprovoked,Binh Dinh Province,Quy Nhon ,Female,Unknown,False,17h30,Unknown Shark,Adult,In Water,Asia,Afternoon,Evening,Việt Nam
,2009.0,Unprovoked,Mombasa,Likoni Channel,Male,Fatal injury,True,,Unknown Shark,,Other/Unknown,Africa,Unknown,Unknown,Unknown
2009-07-24,2009.0,Unprovoked,Texas,South Padre Island,Female,Unknown,False,Afternoon,Unknown Shark,Teen,Other/Unknown,Other/Unknown,Afternoon,Afternoon,United States
2009-07-24,2009.0,Invalid,Catalunya,Sant Salvador,Female,Unknown,False,10h15,Unknown Shark,Child,In Water,Europe,Morning,Morning,España
2009-07-22,2009.0,Unprovoked,North Carolina,Holden Beach. Brunswick County,Female,Unknown,False,15h00,Unknown Shark,Adult,In Water,Other/Unknown,Afternoon,Afternoon,United States
2009-07-22,2009.0,Unprovoked,Florida,"Intracoastal Waterway,      St. Petersburg",Female,Unknown,False,15h00,Unknown Shark,Teen,In Water,Other/Unknown,Afternoon,Afternoon,United States
2009-07-18,2009.0,Unprovoked,Binh Dinh Province,Quy Nhon ,Male,Unknown,False,,Unknown Shark,Adult,In Water,Asia,Unknown,Unknown,Việt Nam
