Date,Year,Type,Area,Location,Sex,Injury,Fatal,Time,Species,AgeGroup,ActivityGroup,CleanedCountry,TimeOfDay,TimePeriod,country
2018-03-14,2018.0,Unprovoked,Western Australia,Waterman'S Bay,Male,Minor injury,False,17h35,Wobbegong Shark,Child,Other/Unknown,Oceania,Afternoon,Evening,Unknown
2018-03-09,2018.0,Unprovoked,Victoria,Lorne,Male,No injury,False,15h30,Unknown Shark,Senior,In Water,Oceania,Afternoon,Afternoon,Australia
2018-03-09,2018.0,Unprovoked,Victoria,Winkipop,Male,Minor injury,False,07h30,Unknown Shark,Teen,In Water,Oceania,Morning,Morning,Australia
2018-02-24,2018.0,Unprovoked,Kwazulu-Natal,Durban,Male,Unknown,False,,Blacktip Shark,Adult,In Water,Unknown,Unknown,Unknown,South Africa
2018-02-23,2018.0,Unprovoked,New South Wales,"Little Congwong Beach, La Perouse ",Female,Unknown,False,"19h00, Dusk",Great White Shark,Adult,In Water,Oceania,Overnight,Evening,Australia
2018-02-18,2018.0,Provoked,Victoria,Westernport Bay,Male,No injury,False,Night,Unknown Shark,Adult,In Water,Oceania,Overnight,Overnight,Australia
2018-02-15,2018.0,Unprovoked,New South Wales,"Surf Beach, Kiama",Male,Unknown,False,16h00,Bull Shark,Adult,Other/Unknown,Oceania,Afternoon,Evening,Australia
2018-02-14,2018.0,Invalid,Queensland,Mooloolaba Beach,Female,No injury,False,18h00,Wobbegong Shark,,In Water,Oceania,Evening,Evening,Australia
2018-02-11,2018.0,Invalid,"Boi Island, Victoria",Espirito Santo,Female,Unknown,False,,Unknown Shark,Adult,Other/Unknown,South America,Unknown,Unknown,Unknown
2018-02-03,2018.0,Unprovoked,Galapagos Islands,Santa Fe Island,Male,Unknown,False,,Galapagos Shark,Adult,Other/Unknown,South America,Unknown,Unknown,Unknown
2018-02-01,2018.0,Invalid,Western Australia,"Avalon Point, Manurah",Male,No injury,False,,Unknown Shark,Teen,On Boat,Oceania,Unknown,Unknown,Unknown
2018-01-28,2018.0,Unprovoked,Western Australia,Cone Bay,Male,Unknown,False,08h00,Bull Shark,Teen,Other/Unknown,Oceania,Morning,Morning,Australia
2018-01-21,2018.0,Unprovoked,,Nouville,Male,Unknown,False,15h30,Bull Shark,,On Boat,Oceania,Afternoon,Afternoon,Unknown
2018-01-14,2018.0,Unprovoked,Queensland,Lizard Island,Male,Unknown,False,15h01,Gray Reef Shark,,In Water,Oceania,Afternoon,Afternoon,Australia
2018-01-13,2018.0,Unprovoked,New South Wales,Martin Islet,Male,No injury,False,,Great White Shark,Adult,In Water,Oceania,Unknown,Unknown,Australia
2018-01-12,2018.0,Unprovoked,Fernando De Noronha,Conceicao Beach,Male,Minor injury,False,Late afternoon,Unknown Shark,Adult,In Water,South America,Afternoon,Afternoon,Brasil
2018-01-05,2018.0,Unprovoked,Western Australia,"South Point, Gracetown",Male,Unknown,False,,Wobbegong Shark,,In Water,Oceania,Unknown,Unknown,Unknown
2017-12-31,2017.0,Unprovoked,Hawaii,"Hultin'S Beach, Oahu",Female,Unknown,False,18h00,Tiger Shark,Adult,In Water,Other/Unknown,Evening,Evening,Unknown
2017-12-30,2017.0,Unprovoked,California,"Drakes Estero, Point Reyes, Marin County",Female,Unknown,False,12h00,Unknown Shark,Adult,In Water,Other/Unknown,Afternoon,Afternoon,Unknown
2017-12-21,2017.0,Provoked,Sepang,Bagan Lalang Beach,Male,Minor injury,False,,Nurse Shark,Adult,On Boat,Asia,Unknown,Unknown,Malaysia
2017-12-09,2017.0,Unprovoked,,,Female,Minor injury,False,,Nurse Shark,Adult,Other/Unknown,North America,Unknown,Unknown,Unknown
2017-11-30,2017.0,Unprovoked,Cocos Island,Manuelita,Male,Unknown,False,,Tiger Shark,Adult,In Water,North America,Unknown,Unknown,Costa Rica
2017-11-30,2017.0,Unprovoked,Cocos Island,Manuelita,Female,Fatal injury,True,,Tiger Shark,Adult,In Water,North America,Unknown,Unknown,Costa Rica
